feature,linear_reg,random_forest,grad_boost,consensus_score
temp_lag1,0.34585572734783776,1.0,1.0,0.7819519091159459
co2_deseasonalized,1.0,0.11006623622465768,0.6411226,0.5837296052664142
co2_12mo_avg,0.9103642553571726,0.1335905764550515,0.42652363,0.49015948588763386
co2_growth_rate,0.06132777428755064,0.6189679711725946,0.6687421,0.44967928857536865
total_ghg,0.7014540733876146,0.03675519964864031,0.53948426,0.42589784516756185
ch4_growth_rate,0.0,0.5226758204137012,0.6999115,0.4075290985317603
ch4_ppb,0.3776554874442797,0.16465668994644725,0.6354121,0.3925747581226536
ch4_12mo_avg,0.5771493114336836,0.08993247976833083,0.4655943,0.3775586942963421
co2_ppm,0.3926950146052039,0.14858048740130972,0.5204214,0.3538989625905298
total_anthropogenic_co2,0.5143210836754354,0.036100872869255285,0.4637295,0.3380504857717532
time_since_1960,0.02649446968999918,0.07337732588801972,0.80682397,0.3022319214884493
co2_change_12mo,0.03218551976644423,0.2790089542986397,0.5635311,0.2915751916050178
n2o_ppb,0.2166324933046688,0.051453497405529715,0.539486,0.26919066057044255
energy_per_capita,0.049788382077565675,0.07208872095210031,0.62263894,0.24817201461360772
temp_lag12,0.010428663282997564,0.1551011691873074,0.4890101,0.21817997602220615
tsi_anomaly,0.041727781758220464,0.16092617025776138,0.447052,0.2165686513230356
volcanic_flag,0.011591627160200534,0.0,0.0,0.0038638757200668444
