country,year,co2,co2_growth_prct,co2_per_capita,methane,nitrous_oxide,land_use_change_co2,cement_co2,coal_co2,oil_co2,gas_co2,total_ghg,energy_per_capita,population,gdp
World,1750,9.306,,0.012,,,,,9.306,,,,,753279296.0,
World,1751,9.407,1.088,,,,,,9.407,,,,,,
World,1752,9.505,1.041,,,,,,9.505,,,,,,
World,1753,9.61,1.108,,,,,,9.61,,,,,,
World,1754,9.734,1.281,,,,,,9.734,,,,,,
World,1755,9.793,0.615,,,,,,9.793,,,,,,
World,1756,9.91,1.189,,,,,,9.91,,,,,,
World,1757,10.094,1.857,,,,,,10.094,,,,,,
World,1758,10.216,1.213,,,,,,10.216,,,,,,
World,1759,10.339,1.199,,,,,,10.339,,,,,,
World,1760,10.514,1.697,0.013,,,,,10.514,,,,,788254976.0,
World,1761,10.748,2.221,,,,,,10.748,,,,,,
World,1762,10.952,1.901,,,,,,10.952,,,,,,
World,1763,11.192,2.186,,,,,,11.192,,,,,,
World,1764,11.397,1.835,,,,,,11.397,,,,,,
World,1765,11.643,2.163,,,,,,11.643,,,,,,
World,1766,11.876,1.998,,,,,,11.876,,,,,,
World,1767,12.153,2.328,,,,,,12.153,,,,,,
World,1768,12.467,2.587,,,,,,12.467,,,,,,
World,1769,12.78,2.512,,,,,,12.78,,,,,,
World,1770,13.097,2.482,0.016,,,,,13.097,,,,,827951488.0,
World,1771,13.369,2.079,,,,,,13.369,,,,,,
World,1772,13.624,1.9,,,,,,13.624,,,,,,
World,1773,13.808,1.355,,,,,,13.808,,,,,,
World,1774,14.012,1.479,,,,,,14.012,,,,,,
World,1775,14.339,2.33,,,,,,14.339,,,,,,
World,1776,14.654,2.198,,,,,,14.654,,,,,,
World,1777,14.96,2.084,,,,,,14.96,,,,,,
World,1778,15.243,1.898,,,,,,15.243,,,,,,
World,1779,15.535,1.914,,,,,,15.535,,,,,,
World,1780,15.879,2.211,0.018,,,,,15.879,,,,,900945152.0,
World,1781,16.234,2.24,,,,,,16.234,,,,,,
World,1782,16.581,2.135,,,,,,16.581,,,,,,
World,1783,17.063,2.906,,,,,,17.063,,,,,,
World,1784,17.471,2.393,,,,,,17.471,,,,,,
World,1785,17.965,2.828,,,,,,17.965,,,,,,
World,1786,18.447,2.685,,,,,,18.447,,,,,,
World,1787,18.859,2.231,,,,,,18.859,,,,,,
World,1788,19.286,2.265,,,,,,19.286,,,,,,
World,1789,19.863,2.993,,,,,,19.863,,,,,,
World,1790,20.398,2.692,0.022,,,,,20.398,,,,,942261696.0,
World,1791,20.932,2.616,,,,,,20.932,,,,,,
World,1792,21.929,4.765,,,,,,21.929,,,,,,
World,1793,22.297,1.678,,,,,,22.297,,,,,,
World,1794,22.52,0.997,,,,,,22.52,,,,,,
World,1795,22.315,-0.908,,,,,,22.315,,,,,,
World,1796,22.121,-0.869,,,,,,22.121,,,,,,
World,1797,22.09,-0.141,,,,,,22.09,,,,,,
World,1798,23.106,4.599,,,,,,23.106,,,,,,
World,1799,27.485,18.953,,,,,,27.485,,,,,,
World,1800,32.798,19.331,0.033,,,,,32.798,,,,,983104755.0,
World,1801,31.986,-2.477,0.032,,,,,31.986,,,,,986464967.0,
World,1802,40.31,26.025,0.041,,,,,40.31,,,,,989864750.0,
World,1803,29.539,-26.723,0.03,,,,,29.539,,,,,993304404.0,
World,1804,31.769,7.552,0.032,,,,,31.769,,,,,996784263.0,
World,1805,31.252,-1.628,0.031,,,,,31.252,,,,,1000304675.0,
World,1806,32.705,4.649,0.033,,,,,32.705,,,,,1003866016.0,
World,1807,36.201,10.69,0.036,,,,,36.201,,,,,1007468698.0,
World,1808,35.498,-1.942,0.035,,,,,35.498,,,,,1011113144.0,
World,1809,36.334,2.355,0.036,,,,,36.334,,,,,1014799822.0,
World,1810,39.492,8.693,0.039,,,,,39.492,,,,,1020150076.0,
World,1811,40.177,1.733,0.039,,,,,40.177,,,,,1025557675.0,
World,1812,40.815,1.588,0.04,,,,,40.815,,,,,1031616616.0,
World,1813,41.206,0.96,0.04,,,,,41.206,,,,,1038342722.0,
World,1814,42.227,2.477,0.04,,,,,42.227,,,,,1045238421.0,
World,1815,43.587,3.222,0.041,,,,,43.587,,,,,1052307852.0,
World,1816,45.497,4.38,0.043,,,,,45.497,,,,,1059555372.0,
World,1817,49.276,8.307,0.046,,,,,49.276,,,,,1066985519.0,
World,1818,51.392,4.294,0.048,,,,,51.392,,,,,1074603043.0,
World,1819,50.93,-0.899,0.047,,,,,50.93,,,,,1082114553.0,
World,1820,50.733,-0.387,0.047,,,,,50.733,,,,,1089507052.0,1175113811058.0
World,1821,52.059,2.614,0.047,,,,,52.059,,,,,1096534977.0,
World,1822,54.022,3.769,0.049,,,,,54.022,,,,,1103392066.0,
World,1823,56.358,4.324,0.051,,,,,56.358,,,,,1110594705.0,
World,1824,57.584,2.175,0.052,,,,,57.584,,,,,1117897019.0,
World,1825,60.731,5.465,0.054,,,,,60.731,,,,,1125304048.0,
World,1826,61.382,1.072,0.054,,,,,61.382,,,,,1132861806.0,
World,1827,65.739,7.097,0.058,,,,,65.739,,,,,1140524282.0,
World,1828,66.682,1.435,0.058,,,,,66.682,,,,,1148292956.0,
World,1829,66.307,-0.561,0.057,,,,,66.307,,,,,1155618460.0,
World,1830,88.988,34.206,0.077,,,,,88.988,,,,,1162497339.0,
World,1831,83.251,-6.448,0.071,,,,,83.251,,,,,1168886301.0,
World,1832,82.092,-1.392,0.07,,,,,82.092,,,,,1174792985.0,
World,1833,83.249,1.41,0.071,,,,,83.249,,,,,1180213555.0,
World,1834,88.763,6.624,0.075,,,,,88.763,,,,,1185694036.0,
World,1835,97.4,9.73,0.082,,,,,97.4,,,,,1191237685.0,
World,1836,106.894,9.748,0.089,,,,,106.894,,,,,1196838401.0,
World,1837,106.199,-0.65,0.088,,,,,106.199,,,,,1202503348.0,
World,1838,105.845,-0.333,0.088,,,,,105.845,,,,,1208233715.0,
World,1839,109.653,3.597,0.09,,,,,109.653,,,,,1213934891.0,
World,1840,118.809,8.35,0.097,,,,,118.809,,,,,1219617217.0,
World,1841,122.166,2.826,0.1,,,,,122.166,,,,,1225283810.0,
World,1842,129.389,5.913,0.105,,,,,129.389,,,,,1230929323.0,
World,1843,132.369,2.304,0.107,,,,,132.369,,,,,1236555463.0,
World,1844,141.966,7.25,0.114,,,,,141.966,,,,,1242258939.0,
World,1845,155.073,9.232,0.124,,,,,155.073,,,,,1248042343.0,
World,1846,157.702,1.695,0.126,,,,,157.702,,,,,1253907423.0,
World,1847,170.797,8.304,0.136,,,,,170.797,,,,,1259855932.0,
World,1848,173.643,1.667,0.137,,,,,173.643,,,,,1265889730.0,
World,1849,185.048,6.568,0.146,,,,,185.048,,,,,1271136843.0,
World,1850,196.848,6.376,0.154,1239.419,143.746,2714.022,,196.848,,,4293.311,,1275602897.0,1546684371847.0
World,1851,198.779,0.981,0.155,1244.062,146.325,2820.767,,198.779,,,4409.168,,1278768180.0,
